idd_cus_customer,first_name,last_name,gender,city,segment,d_created,country,d_birth_date,age_years,age_group
100000,Karlis,Upenieks,M,Ventspils,Retail,2020-07-01,LV,1991-11-04,34,25-34
100001,Kristaps,Kalnina,F,Liepaja,Retail,2020-05-18,LV,1954-01-24,71,65+
100002,Anna,Kalnina,M,Riga,Retail,2017-07-27,LV,2000-05-08,25,25-34
100003,Elina,Abele,F,Ventspils,Retail,2022-06-25,LV,1960-04-05,65,65+
100004,Ilze,Ezerina,F,Jurmala,Retail,2016-02-29,LV,1963-12-04,62,55-64
100005,Roberts,Kalejs,F,Liepaja,SME,2022-12-23,LV,1942-11-24,83,65+
100006,Maija,Berzins,F,Ventspils,Retail,2022-07-10,LV,1961-09-03,64,55-64
100007,Kristaps,Kalejs,F,Jelgava,Retail,2020-02-25,LV,1992-10-14,33,25-34
100008,Anna,Kalejs,F,Valmiera,Retail,2019-09-03,LV,1941-01-01,84,65+
100009,Janis,Krastins,F,Ventspils,Retail,2025-01-22,LV,1969-02-07,56,55-64
100010,Elina,Kalejs,M,Ogre,Retail,2015-12-16,LV,1977-04-17,48,45-54
100011,Maija,Kreicbergs,M,Cesis,SME,2020-12-26,LV,1941-10-01,84,65+
100012,Kristaps,Krastins,M,Jelgava,SME,2023-08-19,LV,2003-09-07,22,18-24
100013,Ilze,Ezerina,F,Riga,Retail,2016-04-06,LV,1999-12-21,26,25-34
100014,Liga,Kalejs,F,Riga,SME,2020-04-12,LV,1960-12-18,65,65+
100015,Dace,Sproge,F,Riga,Corporate,2022-11-09,LV,1972-07-08,53,45-54
100016,Elina,Jansons,F,Riga,Retail,2022-09-09,LV,1997-08-19,28,25-34
100017,Ilze,Kalnina,F,Cesis,Retail,2015-08-22,LV,1961-05-26,64,55-64
100018,Kristaps,Krastins,F,Ventspils,Retail,2015-12-20,LV,1988-01-25,37,35-44
100019,Elina,Abele,F,Daugavpils,Retail,2021-04-10,LV,1998-03-23,27,25-34
100020,Karlis,Lacis,M,Ventspils,Retail,2019-11-19,LV,1981-07-11,44,35-44
100021,Maija,Jansons,F,Jurmala,Retail,2016-04-21,LV,1999-05-05,26,25-34
100022,Rihards,Abele,M,Valmiera,Corporate,2016-07-15,LV,1954-04-25,71,65+
100023,Kristaps,Ozolins,M,Liepaja,Retail,2025-06-18,LV,2001-06-04,24,18-24
100024,Karlis,Abele,F,Daugavpils,Retail,2025-02-08,LV,2001-02-13,24,18-24
100025,Aleksandrs,Kalnina,F,Daugavpils,Retail,2023-08-17,LV,1986-02-12,39,35-44
100026,Anna,Kalnina,M,Ventspils,SME,2021-07-17,LV,2001-06-20,24,18-24
100027,Liga,Krastins,M,Daugavpils,Corporate,2022-11-15,LV,1990-05-26,35,35-44
100028,Andris,Kalejs,F,Jurmala,Retail,2024-11-15,LV,1994-01-24,31,25-34
100029,Maija,Eglitis,F,Liepaja,Retail,2024-06-06,LV,2003-08-18,22,18-24
100030,Elina,Ozolins,M,Ogre,Retail,2015-09-12,LV,1942-02-13,83,65+
100031,Dace,Krastins,F,Cesis,Retail,2022-08-26,LV,1990-02-18,35,35-44
100032,Ilze,Sproge,F,Ventspils,Retail,2024-09-22,LV,1946-05-27,79,65+
100033,Andris,Berzins,F,Cesis,Retail,2018-03-15,LV,1960-11-20,65,65+
100034,Janis,Liepa,M,Ogre,Retail,2020-06-20,LV,1978-06-19,47,45-54
100035,Ilze,Lacis,M,Ventspils,Retail,2025-04-17,LV,1957-04-23,68,65+
100036,Elina,Abele,M,Ventspils,Retail,2023-02-03,LV,1943-02-02,82,65+
100037,Liga,Eglitis,F,Liepaja,Retail,2023-07-13,LV,1999-11-08,26,25-34
100038,Laura,Kalejs,F,Cesis,Retail,2017-07-26,LV,1953-05-03,72,65+
100039,Ilze,Kreicbergs,M,Riga,Retail,2016-01-20,LV,1948-04-28,77,65+
100040,Laura,Ezerina,M,Cesis,Retail,2022-08-31,LV,1992-02-13,33,25-34
100041,Anna,Berzins,M,Valmiera,Retail,2016-10-05,LV,1941-05-15,84,65+
100042,Liga,Upenieks,F,Valmiera,Retail,2020-11-04,LV,1999-11-27,26,25-34
100043,Kristaps,Vilsons,M,Ventspils,Retail,2016-06-08,LV,1983-06-06,42,35-44
100044,Karlis,Eglitis,M,Riga,Retail,2023-08-02,LV,1947-06-12,78,65+
100045,Janis,Ezerina,F,Jelgava,Retail,2017-12-08,LV,1986-04-22,39,35-44
